"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","MB for HBN 1768811 [XXX/38475]","1","","1414371","MB","","09/20/2017 07:29","09/22/2017 14:15","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","5a Androstane (surr)",".","5d Androstane","S","AK102",86.5,"=","",,0,"%",1,250,1,,,0.4,86.5,60,120,,,,,3,"","Semivolatile Organic Fuels Department",65,3,"JMG",0,0,0
"","MB for HBN 1768811 [XXX/38475]","1","","1414371","MB","","09/20/2017 07:29","09/22/2017 14:15","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","Diesel Range Organics",".","DRO","N","AK102",0,"U","",,0.3,"mg/L",1,250,1,,,,,,,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",0.6,0.3,0.18
"17825","17825-MW1","1","09/14/2017 13:29","1176583001","PS","","09/14/2017 14:35","09/22/2017 15:38","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","5a Androstane (surr)",".","5d Androstane","S","AK102",87,"=","",,0,"%",1,250,1,,,0.4,87,50,150,,,,,3,"","Semivolatile Organic Fuels Department",65,2,"JMG",0,0,0
"17825","17825-MW1","1","09/14/2017 13:29","1176583001","PS","","09/14/2017 14:35","09/22/2017 15:38","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","Diesel Range Organics",".","DRO","N","AK102",5.58,"=","",,0.6,"mg/L",1,250,1,,,,,,,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",0.6,0.3,0.18
"17825","17825-MW2","1","09/14/2017 12:15","1176583002","PS","","09/14/2017 14:35","09/22/2017 15:58","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","5a Androstane (surr)",".","5d Androstane","S","AK102",89.2,"=","",,0,"%",1,234,1,,,0.427,89.2,50,150,,,,,3,"","Semivolatile Organic Fuels Department",65,2,"JMG",0,0,0
"17825","17825-MW2","1","09/14/2017 12:15","1176583002","PS","","09/14/2017 14:35","09/22/2017 15:58","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","Diesel Range Organics",".","DRO","N","AK102",0,"U","",,0.641,"mg/L",1,234,1,,,,,,,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",0.641,0.321,0.192
"17825","17825-MW3","1","09/14/2017 11:00","1176583003","PS","","09/14/2017 14:35","09/22/2017 16:19","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","5a Androstane (surr)",".","5d Androstane","S","AK102",85.4,"=","",,0,"%",1,255,1,,,0.392,85.4,50,150,,,,,3,"","Semivolatile Organic Fuels Department",65,2,"JMG",0,0,0
"17825","17825-MW3","1","09/14/2017 11:00","1176583003","PS","","09/14/2017 14:35","09/22/2017 16:19","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","Diesel Range Organics",".","DRO","N","AK102",0.609,"=","",,0.588,"mg/L",1,255,1,,,,,,,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",0.588,0.294,0.176
"17825","17825-MW8","1","09/14/2017 12:20","1176583004","PS","","09/14/2017 14:35","09/22/2017 16:47","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","5a Androstane (surr)",".","5d Androstane","S","AK102",84.9,"=","",,0,"%",1,250,1,,,0.4,84.9,50,150,,,,,3,"","Semivolatile Organic Fuels Department",65,2,"JMG",0,0,0
"17825","17825-MW8","1","09/14/2017 12:20","1176583004","PS","","09/14/2017 14:35","09/22/2017 16:47","XFC13834","XXX38475","SW3520C","09/20/2017 08:12","Diesel Range Organics",".","DRO","N","AK102",0,"U","",,0.6,"mg/L",1,250,1,,,,,,,,,,,3,"","Semivolatile Organic Fuels Department",65,1,"JMG",0.6,0.3,0.18
